,bot,human
0,A3RQN5RZD1N2KP,
1,hi!,Hi!
2,what kind of movies are you interested in?,horror movies
3,awesome! whats your favorite antlers movie?,Ive never seen any antlers movies
4,i like happy gilmore. he plays the best character in that movie.,"happy gilmore isnt a horror movie, can you recommend a scary movie?"
5,"OK, how about Antlers?",what is antlers about?
6,the antlers movie is about a bar owner who keeps hiring women that he thinks are super attractive and trying to take them home.,That doesnt sound scary. Can you recommend something else?
7,I would recommend Like a Boss.,What is like a boss?
8,i have no problem recommending movies.,what is the movie Like a Boss about?
9,the double tap movie is about a man who gets double tapped in the head in the army after the war. and then he runs a bar. i think you will like it.,accept
10,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
11,,
12,A39VDI1CVOMMIN,
13,hi!,Hello
14,what kind of movies do you like?,Sci fi movies
15,what is the latest sci-fi movie you have seen?,Star wars
16,okay. have you seen the new star wars movies yet?,I have
17,i highly recommend that you watch the movie star wars: the rise of skywalker,[accept]
18,"TASK COMPLETE, Thanks for chatting with me!",
19,,
20,A8C3WNWRBWUXO,
21,hello,Hi there.
22,whats up?,"Not much, how can you help?"
23,"i was looking for something to watch, do you have any recommendations?",I thought you were recommending to me?
24,"im sorry, i meant i am looking for a movie, but thank you for taking the time to help me, have a nice day!",Can you recommend something for me?
25,do you like romantic comedies?,"Not really, I did like Love Actually, but that is about it."
26,"thats too bad, maybe theres a movie with both of your favorite actors.","Well, I do like Christian Bale."
27,hes great in that.,In what?
28,in this christian bale,quit
29,"TASK COMPLETE, Thanks for chatting with me!",
30,,
31,A15VCKELIEEPJN,
32,hello,hi
33,do you know what kind of movie are you looking for?,Sci-Fi
34,how is your space sci-fi?,love it
35,i love bloodshot,Sounds like horror.
36,yup,I dont like horror.
37,oh and have you seen the turning,is that horror too?
38,no thats s action movie,can you recommend sci-fi?
39,I am recommending Antlers.,Is that Sci-Fi?
40,yes it is sci-fi.,Accept
41,thank you,thank you 
42,you are welcome,quit
43,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/0rM5WnicOAE Thanks for chatting with me!",
44,,
45,A1ROEDVMTO9Y3X,
46,"hello, how are you doing?","great, how about you"
47,im well,i need some good romance movies
48,i recommend earthquake bird movies,great
49,i was going to recommend earthquake bird movies but you were talking about romance,accept
50,"TASK COMPLETE, Thanks for chatting with me!",
51,,
52,A1K8QNLYYYX21W,
53,hello!,Hello
54,what can i help you with?,Im looking for a good movie to watch
55,do you like drama?,Not really.
56,how about comedy?,not really
57,I would like to recommend Like a Boss.,What is that movie about?
58,its a german romantic comedy,I dont want to watch a comedy show. Any other ideas?
59,I would recommend Bad Boys for Life.,What genre is that?
60,is a german romantic comedy i think you may like the trolls world tour,What about bad boys for life?
61,I recommend the movie Onward.,[quit]
62,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Alv1znZA6Es Thanks for chatting with me!",
63,,
64,A2P065E9CYMYJL,
65,"hello, im here to help you look for a movie trailer",yes
66,what types of movies do you enjoy?,romantoc
67,"cool, do you prefer things like romantic comedies?",yes
68,i enjoy them too. do you like amy schumer?,yes
69,I would like to recommend Like a Boss.,yes
70,have you ever heard of maddox?,yes
71,do you like people like him?,yes
72,i can recommend a movie for you.,ok
73,I would like to recommend Bad Boys for Life.,yes
74,bad boys for life,yes
75,I am recommending Onward.,ok
76,you can watch this movie anytime.,ok]
77,I would like to recommend The Kings Man.,yes
78,hmmm,bye
79,i think you have great movie.,yes it is great movie
80,did you see the movie called the princess bride.,yes
81,I would recommend Trolls World Tour.,yes
82,"ok, i would recommend the movie then.",ok
83,the movie,ok
84,i would recommend the movie trolls,yes
85,chitchat,yes
86,Task Finished!,
87,,
88,AQ9Y6WD8O72ZC,
89,hello! i am here to help you looking for a movie trailer!,ok
90,what type of movies are you interested in?,Action movies
91,"have you seen the new scorsese film ""goodfellas""?",yes
92,so would you be interested in seeing that movie trailer?,yes
93,cool i have a suggestion for you. avengers: endgame,ok
94,Would you prefer to watch Avengers: Endgame?,yes
95,"infinity war is a great movie, so is infinity war",yes
96,great,thanks
97,any time.,www.youtube.com/watch/Alv1znZA6
98,"CHATBOT ERROR! Sorry, please click complete chat",
99,,
100,A3VHNIFFP8Y9H7,
101,hello! how are you?,good
102,i am fine! what kind of movies do you like?,thriller
103,bad boys for life is an oldie but a goodie! me too,quit
104,"TASK COMPLETE, Thanks for chatting with me!",
105,,
106,A2OR46JV43TOJV,
107,"hi, im martha!",Hi I am Steve
108,how are you today?,fine and what about you?
109,"i am doing well, how has your day been?",quit
110,"TASK COMPLETE, Thanks for chatting with me!",
111,,
112,AEF74ZYJTTEIA,
113,hello!,"Hello there,"
114,what are you doing today?,"Looking for a movie, can you help?"
115,yes i can. what are your preferences?,I want some
116,what kind of movies do you usually like?,I want something like a comedy.
117,bad boys for life what about it?,Is it a comedy?
118,no. its a serious movie about a guy that deals with a case of misadventure and his personal struggle in an attempt to stay out of jail.,I said I wanted a comedy.
119,"oh, my mistake. its not a comedy, its a drama about an actor and his struggle with his marriage to will smith onward","I see, do you know any comedies though?"
120,"OK, how about Like a Boss?",Is that a comedy?
121,"yes, its very funny. its a comedy about the will smith characters troubles with his marriage to his wife trolls world tour",I guess Ill watch that...
