,bot,human
0,A3RQN5RZD1N2KP,
1,"Hello, I am here to help you looking for a movie trailer",Hi BlueBot can you find me something scary to watch?
2,What type of movies do you like to watch?,"Horror movies, scary movies"
3,What was the last movie you watched?,Halloween
4,Have you seen the movie Antlers?,no I havent seen it
5,I think the movie has great actors in it!,what actors are in the movie?
6,I think the movie has great actors in it!,who directed it?
7,I think the movie has great actors in it!,what else can you tell me about the movie?
8,"The movie was made in 1994 and is about ""A young teacher discovers that her troubled students father and younger brother harbor a deadly supernatural secret. Taking the boy into her care, the teacher must fight for their survival against horrors beyond imagination.""",accept
9,Thanks for chatting with me!,
10,,
11,A39VDI1CVOMMIN,
12,"Hello, I am here to help you look for a movie trailer.",I would like a trailer for black widow please
13,What kind of movies do you like?,I like action movies
14,"I like action too, I like Avengers: Endgame , but not Max Steel.","I like endgame too, but havent watched max steel"
15,Have you seen the trailer for Monster Trucks?,I have not
16,It is a great movie. I think you will enjoy it. It is one of my favorites.,Thank you for the recommendation
17,No problem!,What else would you recommend
18,"It is about ""Looking for any way to get away from the life and town he was born into, Tripp, a high school senior, builds a Monster Truck from bits and pieces of scrapped cars. After an accident at a nearby oil-drilling site displaces a strange and subterranean creature with a taste and a talent for speed, Tripp may have just found the key to getting out of town and a most unlikely friend.""",That sounds odd
19,If you like action then you should also watch Kill Switch.,Whats that about?
20,"""A pilot battles to save his family and the planet after an experiment for unlimited energy goes wrong.""",That sounds really interesting
21,"""A pilot battles to save his family and the planet after an experiment for unlimited energy goes wrong.""",You said that already
22,"You should watch the movie as it is about ""A pilot battles to save his family and the planet after an experiment for unlimited energy goes wrong.""",You are like a broken record about that
23,You are really like me.,I think you might be borken
24,Not at all. Sorry. It is not my style. Do you like movies like that?,I do
25,"Sorry, I did not realize you like movies. I am not here to help you find a movie trailer.",You initially said you were going to help me find a trailer
26,I think I am not trying to help you find a movie trailer.,I think you are broken
27,No problem! I am here to help you find a movie trailer.,Can you please find me a trailer for Black Widow
28,Do you like movies like Kickboxer: Vengeance?,Ive never heard of it
29,It is one of my favorites too. It is a great movie.,Thats great
30,Another movie I recommend is Collide.,Whats that about?
31,"""An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Munichs autobahns.""",That sounds interesting
32,"""An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Munichs autobahns.""",You said that already
33,Task Finished!,
34,,
35,A8C3WNWRBWUXO,
36,Hello! I am here to help you find a movie trailer.,"Excellent, how can I help?"
37,Do you know what kind of movie trailers you would like to see?,"Some kind of drama, intelligent though."
38,Got it! What do you like about drama?,"I like the story, but I dont like it to be obvious."
39,Got it! I think you would like Bloodshot.,What is it about?
40,"""After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—Bloodshot. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that theres more to the conspiracy than he thought.""",It sounds a little dumb to me.
41,"I think you would like Underwater. It has Kristen Stewart, and Kristen Stewart  .",Sounds interesting.
42,I think you would like it if you enjoyed the drama series.,accept
43,Thanks for chatting with me!,
44,,
45,A15VCKELIEEPJN,
46,"Hi, I am here to help you looking for a movie trailer.",Yes I would like to see something new.
47,What type of movies do you like?,I like Sci-Fi 
48,Great. What was the last sci-fi movie you saw?,I seen Prometheus
49,Have you seen the movie The Irishman?,No 
50,"It is the latest movie in the next chapter of the Martian race. It is a bit of a sci fi movie, and it is a good movie. It has a great soundtrack and is a fun movie.",Wow tell me more
51,"I recommend the movie, It is the newest movie in the series.  ""A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.""",Oh yes I have seen this one on Netflix
52,If you like sci fi then you would like to check out the movie Midway. It is the second installment in the series.,Whats Midway about?
53,Mary Queen of Scots is the latest movie in the series of the Martian race.,What about Midway 
54,It is an animated movie and has a good soundtrack and story.,It it in theaters
55,I think you will enjoy it.,Do you have any space movies to recommend?
56,"The plot is like this: ""The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.""",Love it
57,I think you will enjoy it.,accept
58,Thanks for chatting with me!,
59,,
60,A1ROEDVMTO9Y3X,
61,"Hi, I am here to help you looking for a movie trailer.","Hi, can i see any new james bond movie"
62,I think you would like Like a Boss. It has been a long time since I saw that one.,oh when was it going to release
63,It was released in December of last year. It is an action/adventure movie.,accept
64,Thanks for chatting with me!,
65,,
66,A1K8QNLYYYX21W,
67,Hey! I am here to help you look for a movie trailer,That sounds great. Id like to find a good sci-fi movie.
68,What was the last sci-fi movie you watched?,Star-Wars was the last movie I watched.
69,I would recommend seeing the new Star Wars: The Rise of Skywalker,"That was the one I saw, can you recommend another movie?"
70,sci-fi.,Yes can you recommend another sci-fi movie?
71,action is my favorite!,What would you recommend as an action movie?
